代码,简称,日期,前收盘价(元),开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),成交金额(元),涨跌(元),涨跌幅(%),均价(元),
601318.SH,中国平安,2016-01-04,33.7255,33.5756,33.5756,31.7582,31.8987,70997199,2468127284,-1.8268,-5.4167,34.7637,
601318.SH,中国平安,2016-01-05,31.8987,31.5521,32.6107,31.3835,32.3203,87498507,3002728330,0.4216,1.3216,34.3175,
601318.SH,中国平安,2016-01-06,32.3203,32.1329,32.4702,31.8519,32.3484,48012110,1648967873,0.0281,0.087,34.3448,
601318.SH,中国平安,2016-01-07,32.3484,31.8519,32.339,30.915,31.6364,23647605,796250794,-0.712,-2.201,33.6715,
601318.SH,中国平安,2016-01-08,31.6364,31.8519,32.2734,30.8214,31.7957,98239660,3319542172,0.1593,0.5034,33.7902,
601318.SH,中国平安,2016-01-11,31.7957,30.915,31.2242,29.9782,30.0063,99355700,3259413147,-1.7893,-5.6276,32.8055,
601318.SH,中国平安,2016-01-12,30.0063,30.2312,30.5028,29.8096,30.175,74380914,2393261862,0.1686,0.562,32.1758,
601318.SH,中国平安,2016-01-13,30.175,30.6996,30.7089,29.8377,29.9689,62533019,2021310637,-0.2061,-0.683,32.3239,
601318.SH,中国平安,2016-01-14,29.9689,28.9477,30.0344,28.854,29.9689,79722712,2501041139,0,0,31.3718,
601318.SH,中国平安,2016-01-15,29.9689,29.641,29.8564,28.9477,29.2288,59140260,1852786053,-0.7401,-2.4695,31.3287,
601318.SH,中国平安,2016-01-18,29.2288,28.7885,29.2943,28.6573,29.107,48369367,1499292425,-0.1218,-0.4167,30.9967,
601318.SH,中国平安,2016-01-19,29.107,29.2475,29.6784,28.8072,29.5192,67392536,2110985238,0.4122,1.4162,31.3237,
601318.SH,中国平安,2016-01-20,29.5192,29.2475,29.463,28.3763,28.6011,100704268,3093888706,-0.9181,-3.1101,30.7225,
601318.SH,中国平安,2016-01-21,28.6011,28.4512,28.8634,27.9828,28.2451,68190102,2062908473,-0.356,-1.2447,30.2523,
601318.SH,中国平安,2016-01-22,28.2451,28.4512,28.5636,27.8048,28.3107,49310407,1483455593,0.0656,0.2322,30.084,
601318.SH,中国平安,2016-01-25,28.3107,28.3763,28.4418,28.0015,28.3482,37474472,1128901679,0.0375,0.1324,30.1246,
601318.SH,中国平安,2016-01-26,28.3482,28.0203,28.1983,27.149,27.3832,76680981,2257692347,-0.9649,-3.4038,29.4427,
601318.SH,中国平安,2016-01-27,27.3832,27.4957,27.6174,26.9804,27.3739,70385326,2053855399,-0.0094,-0.0342,29.1802,
601318.SH,中国平安,2016-01-28,27.3739,27.3551,27.7392,26.9523,27.4488,48441759,1415213671,0.0749,0.2738,29.2147,
601318.SH,中国平安,2016-01-29,27.4488,27.3551,28.4606,27.2802,28.2732,64439144,1926485785,0.8244,3.0034,29.8962,
601318.SH,中国平安,2016-02-01,28.2732,28.2545,28.2545,27.4582,27.6643,34048457,1010608899,-0.6089,-2.1537,29.6815,
601318.SH,中国平安,2016-02-02,27.6643,27.6643,28.1983,27.6362,28.0765,37513430,1121692994,0.4122,1.49,29.9011,
601318.SH,中国平安,2016-02-03,28.0765,27.6362,27.9172,27.2614,27.7673,39035211,1146446853,-0.3092,-1.1011,29.3696,
601318.SH,中国平安,2016-02-04,27.7673,27.8891,28.1608,27.6268,27.8329,36657042,1092202369,0.0656,0.2362,29.7952,
601318.SH,中国平安,2016-02-05,27.8329,27.8235,28.1046,27.7392,27.7861,33330201,993430369,-0.0468,-0.1683,29.8057,
601318.SH,中国平安,2016-02-15,27.7861,26.8867,27.9079,26.8118,27.5706,43993725,1285788947,-0.2155,-0.7755,29.2266,
601318.SH,中国平安,2016-02-16,27.5706,27.683,28.4044,27.5987,28.217,39757869,1196447896,0.6464,2.3445,30.0934,
601318.SH,中国平安,2016-02-17,28.217,28.2264,28.4137,28.0296,28.1421,46163466,1391102854,-0.0749,-0.2656,30.1343,
601318.SH,中国平安,2016-02-18,28.1421,28.3669,28.5636,27.9172,28.0203,48458572,1463151186,-0.1218,-0.4328,30.1939,
601318.SH,中国平安,2016-02-19,28.0203,28.0203,28.2451,27.8516,28.0296,26092199,780758760,0.0094,0.0334,29.9231,
601318.SH,中国平安,2016-02-22,28.0296,28.3669,29.6503,28.1327,29.0133,78908600,2431155402,0.9837,3.5094,30.8098,
601318.SH,中国平安,2016-02-23,29.0133,29.0039,29.0133,28.3294,28.573,43458444,1328534703,-0.4403,-1.5176,30.5702,
601318.SH,中国平安,2016-02-24,28.573,28.3856,28.6667,28.1327,28.4887,30491050,923163841,-0.0843,-0.2951,30.2766,
601318.SH,中国平安,2016-02-25,28.4887,28.4512,28.4512,27.0366,27.1303,59059774,1748561034,-1.3584,-4.7682,29.6066,
601318.SH,中国平安,2016-02-26,27.1303,27.4769,27.5425,27.1116,27.2614,33211134,969727466,0.1312,0.4834,29.1989,
601318.SH,中国平安,2016-02-29,27.2614,27.2146,27.3083,26.053,27.1771,66763176,1905354124,-0.0843,-0.3093,28.539,
601318.SH,中国平安,2016-03-01,27.1771,27.0741,27.8142,26.7556,27.4113,40682753,1182768077,0.2342,0.8618,29.073,
601318.SH,中国平安,2016-03-02,27.4113,27.4957,28.3856,27.4957,28.2732,62335409,1866957711,0.8619,3.1442,29.9502,
601318.SH,中国平安,2016-03-03,28.2732,28.3388,28.5636,28.0859,28.4606,53494887,1617317668,0.1874,0.6627,30.2331,
601318.SH,中国平安,2016-03-04,28.4606,28.3669,29.6035,28.2264,29.5567,178976573,5572673517,1.0961,3.8512,31.1363,
601318.SH,中国平安,2016-03-07,29.5567,29.3974,29.5848,28.8634,29.0882,54440341,1695365205,-0.4684,-1.5848,31.1417,
601318.SH,中国平安,2016-03-08,29.0882,29.0227,29.3693,28.0952,29.3225,67391212,2063557424,0.2342,0.8052,30.6206,
601318.SH,中国平安,2016-03-09,29.3225,28.8728,29.463,28.3482,29.3974,80090596,2476074423,0.0749,0.2556,30.9159,
601318.SH,中国平安,2016-03-10,29.3974,29.0227,29.3131,28.7604,28.7978,33110889,1024457375,-0.5996,-2.0395,30.9402,
601318.SH,中国平安,2016-03-11,28.7978,28.6386,29.1351,28.5449,29.0789,35792982,1104131773,0.281,0.9759,30.8477,
601318.SH,中国平安,2016-03-14,29.0789,29.032,29.5754,28.9477,29.1445,55579715,1737635744,0.0656,0.2255,31.2638,
601318.SH,中国平安,2016-03-15,29.1445,29.0882,29.5004,28.7135,29.3787,61981843,1934428492,0.2342,0.8036,31.2096,
601318.SH,中国平安,2016-03-16,29.3787,29.1351,30.2218,29.0882,30.1,159647657,5110207477,0.7214,2.4554,32.0093,
601318.SH,中国平安,2016-03-17,30.1,30.0719,30.3248,29.8658,29.9782,57078597,1831613492,-0.1218,-0.4046,32.0893,
601318.SH,中国平安,2016-03-18,29.9782,30.278,30.3717,29.8658,30.0906,87408324,2814665234,0.1124,0.375,32.2013,
601318.SH,中国平安,2016-03-21,30.0906,30.3436,31.6645,30.2031,30.7558,113879011,3765399061,0.6651,2.2105,33.0649,
601318.SH,中国平安,2016-03-22,30.7558,30.5872,30.9525,29.9782,30.0719,60362722,1955171899,-0.6839,-2.2236,32.3904,
601318.SH,中国平安,2016-03-23,30.0719,30.2499,30.6902,30.0532,30.2218,36047297,1165680600,0.1499,0.4984,32.3375,
601318.SH,中国平安,2016-03-24,30.2218,30.0438,30.0625,29.744,29.7909,35109688,1119205604,-0.4309,-1.4259,31.8774,
601318.SH,中国平安,2016-03-25,29.7909,29.8002,30.7277,29.641,30.0344,35717568,1148277641,0.2436,0.8176,32.1488,
601318.SH,中国平安,2016-03-28,30.0344,30.0719,30.3061,29.3693,29.4723,37797307,1202848138,-0.5621,-1.8715,31.8236,
601318.SH,中国平安,2016-03-29,29.4723,29.6129,29.7534,29.1726,29.2756,34128188,1072037062,-0.1967,-0.6675,31.4121,
601318.SH,中国平安,2016-03-30,29.2756,29.6035,30.0344,29.5286,29.9689,43205823,1375893943,0.6932,2.368,31.8451,
601318.SH,中国平安,2016-03-31,29.9689,30.0625,30.1469,29.7065,29.8002,29797952,951119691,-0.1686,-0.5627,31.919,
601318.SH,中国平安,2016-04-01,29.8002,29.819,29.9408,29.2381,29.9033,38552936,1221251115,0.1031,0.3458,31.6773,
601318.SH,中国平安,2016-04-05,29.9033,29.6972,30.1656,29.5098,29.9782,42978997,1370034029,0.0749,0.2506,31.8768,
601318.SH,中国平安,2016-04-06,29.9782,29.7721,29.9408,29.641,29.7347,27232796,865676880,-0.2436,-0.8125,31.788,
601318.SH,中国平安,2016-04-07,29.7347,29.8752,29.9408,29.3787,29.388,36211146,1139929927,-0.3466,-1.1657,31.4801,
601318.SH,中国平安,2016-04-08,29.388,29.2288,29.2943,29.0789,29.1913,36175893,1126007857,-0.1967,-0.6694,31.1259,
601318.SH,中国平安,2016-04-11,29.1913,29.3412,29.8283,29.3412,29.5192,35165894,1110979400,0.3279,1.1232,31.5925,
601318.SH,中国平安,2016-04-12,29.5192,29.5004,29.744,29.4161,29.5567,21968838,693090526,0.0375,0.1269,31.5488,
601318.SH,中国平安,2016-04-13,29.5567,29.7909,30.2218,29.7159,29.8939,75568173,2423542993,0.3373,1.141,32.0709,
601318.SH,中国平安,2016-04-14,29.8939,30.0532,30.3342,29.8658,29.997,42270343,1356507308,0.1031,0.3447,32.0912,
