代码,简称,日期,开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),成交金额(元),
601318.SH,中国平安,2018-01-02,68.2095,70.7257,68.1804,70.5217,123616317,8873521553,
601318.SH,中国平安,2018-01-03,71.3087,71.7944,68.1124,68.9479,179405492,12887286352,
601318.SH,中国平安,2018-01-04,68.9965,70.1428,68.5399,69.1519,106115784,7558632047,
601318.SH,中国平安,2018-01-05,69.5502,69.832,68.4427,68.8702,77207581,5478422385,
601318.SH,中国平安,2018-01-08,68.773,68.773,67.3449,68.0152,122872953,8582728348,
601318.SH,中国平安,2018-01-09,68.297,70.0263,68.0347,69.8222,123949115,8846740744,
601318.SH,中国平安,2018-01-10,69.5599,69.8222,68.6953,69.6765,82812301,5908131847,
601318.SH,中国平安,2018-01-11,69.0256,71.0366,68.977,70.58,109628895,7942591596,
601318.SH,中国平安,2018-01-12,70.5897,72.3773,70.2691,72.2899,128266294,9412700286,
601318.SH,中国平安,2018-01-15,73.2031,76.2633,73.2031,75.4376,200659866,15506926306,
601318.SH,中国平安,2018-01-16,75.4667,77.2154,75.0004,75.593,150164317,11730259422,
601318.SH,中国平安,2018-01-17,75.8747,77.0891,74.3203,75.1364,141357416,11007901753,
601318.SH,中国平安,2018-01-18,76.3216,77.8275,74.8838,75.3987,207447138,16276293928,
601318.SH,中国平安,2018-01-19,76.069,76.8074,74.6992,75.3793,155380912,12121952907,
601318.SH,中国平安,2018-01-22,74.9129,76.9434,74.8547,76.4965,121588286,9519920005,
601318.SH,中国平安,2018-01-23,78.0121,78.9641,76.0593,76.5159,191989840,15307309842,
601318.SH,中国平安,2018-01-24,76.7491,77.1766,74.2037,74.262,168914104,13089919947,
601318.SH,中国平安,2018-01-25,73.7666,73.8249,72.6688,73.1448,123439652,9292249846,
601318.SH,中国平安,2018-01-26,73.1545,74.6604,73.0671,73.9317,112554650,8558720967,
601318.SH,中国平安,2018-01-29,74.4758,74.5146,70.8132,71.2698,151784351,11341796885,
601318.SH,中国平安,2018-01-30,70.8229,72.2413,70.7257,71.2892,86781693,6389286977,
601318.SH,中国平安,2018-01-31,70.58,73.0088,70.4537,72.9408,93472629,6959739461,
601318.SH,中国平安,2018-02-01,72.8631,73.446,71.9401,73.3294,141576291,10624480475,
601318.SH,中国平安,2018-02-02,72.7368,74.2037,72.0179,73.8443,100758337,7592895872,
601318.SH,中国平安,2018-02-05,72.2802,73.786,72.183,73.5528,94805442,7124096934,
601318.SH,中国平安,2018-02-06,71.7458,72.5716,70.4343,71.6681,204966683,15035748671,
601318.SH,中国平安,2018-02-07,72.4745,72.523,68.4913,69.3462,174784083,12632931016,
601318.SH,中国平安,2018-02-08,68.5981,69.4628,66.422,67.0243,153010890,10664335041,
601318.SH,中国平安,2018-02-09,64.6053,65.0619,60.4278,62.5942,249202978,16087878594,
601318.SH,中国平安,2018-02-12,62.8177,63.7795,62.1765,63.1091,102961177,6677189824,
601318.SH,中国平安,2018-02-13,64.3138,66.4025,64.1778,65.1104,114795720,7736172612,
601318.SH,中国平安,2018-02-14,65.5768,67.2186,65.2853,66.9272,64650188,4399687785,
601318.SH,中国平安,2018-02-22,68.229,68.4136,67.2575,67.7821,78364999,5477772497,
601318.SH,中国平安,2018-02-23,68.2484,69.4239,67.8404,68.6273,55601107,3929000289,
601318.SH,中国平安,2018-02-26,68.9673,69.5405,67.6169,68.7827,69384092,4900094210,
601318.SH,中国平安,2018-02-27,68.9965,69.1616,67.4906,67.8209,78099482,5485814912,
601318.SH,中国平安,2018-02-28,67.2283,67.2672,65.7711,65.8294,78217046,5354288636,
601318.SH,中国平安,2018-03-01,65.2659,67.4032,64.9744,66.966,66329617,4535163832,
601318.SH,中国平安,2018-03-02,66.0625,66.7037,65.5282,65.7516,58143932,3950841316,
601318.SH,中国平安,2018-03-05,65.7322,66.6357,65.091,65.9459,60982380,4123448692,
601318.SH,中国平安,2018-03-06,66.4511,67.4129,65.4796,67.3449,65707723,4498428233,
601318.SH,中国平安,2018-03-07,67.0146,68.1804,66.2374,66.8203,59055501,4086838910,
601318.SH,中国平安,2018-03-08,67.0923,68.8216,66.8009,68.5301,69268165,4847200944,
601318.SH,中国平安,2018-03-09,68.977,69.4239,68.3067,68.8702,47622200,3371832639,
601318.SH,中国平安,2018-03-12,69.5599,69.8125,68.5884,69.0936,58335147,4159385529,
601318.SH,中国平安,2018-03-13,69.1713,69.3171,67.2089,67.4421,60949227,4270300750,
601318.SH,中国平安,2018-03-14,66.8883,67.2283,66.3151,66.8591,51476079,3538649610,
601318.SH,中国平安,2018-03-15,66.4608,68.6856,66.4511,68.4816,62711086,4389005513,
601318.SH,中国平安,2018-03-16,68.6856,69.9,68.4427,68.501,70132623,4999966474,
601318.SH,中国平安,2018-03-19,68.8702,71.775,68.4719,71.707,92449982,6687346253,
601318.SH,中国平安,2018-03-20,71.0172,72.0761,70.6286,71.979,65977835,4847776967,
601318.SH,中国平安,2018-03-21,74.5146,74.5243,70.9492,71.7167,136748593,10277152012,
601318.SH,中国平安,2018-03-22,71.4155,72.0567,69.6377,70.8035,90287752,6578006315,
601318.SH,中国平安,2018-03-23,68.0055,68.7536,67.4421,68.297,148695492,10435410981,
601318.SH,中国平安,2018-03-26,67.2283,67.9764,65.0716,66.3345,138098519,9441425605,
601318.SH,中国平安,2018-03-27,67.5975,67.6752,65.5768,66.218,103992027,7111483067,
601318.SH,中国平安,2018-03-28,65.091,65.7516,63.0314,63.5366,142078782,9380984826,
601318.SH,中国平安,2018-03-29,63.556,65.363,61.7004,64.4984,146254573,9514381379,
601318.SH,中国平安,2018-03-30,64.1292,64.3818,62.9537,63.4492,84202251,5499095858,
601318.SH,中国平安,2018-04-02,62.4194,64.3624,62.3902,62.8177,80555909,5242356770,
601318.SH,中国平安,2018-04-03,62.1279,63.0994,62.021,62.672,60407068,3885145804,
601318.SH,中国平安,2018-04-04,63.0508,63.7115,62.1571,62.7108,67998953,4414551485,
601318.SH,中国平安,2018-04-09,63.1383,64.1098,62.2251,64.0806,71614285,4679345562,
601318.SH,中国平安,2018-04-10,63.8183,66.4511,63.5269,66.3054,90513972,6064986129,
601318.SH,中国平安,2018-04-11,66.354,66.6163,65.5573,65.7419,72092432,4894354063,
601318.SH,中国平安,2018-04-12,65.9751,66.0334,64.7898,64.819,54450250,3659539916,
601318.SH,中国平安,2018-04-13,65.5088,65.5282,64.1681,64.2944,46638574,3114028929,
601318.SH,中国平安,2018-04-16,64.1292,64.7607,62.0599,62.4679,80963957,5244687540,
601318.SH,中国平安,2018-04-17,62.6039,63.012,61.0398,61.3313,83167288,5312790696,
601318.SH,中国平安,2018-04-18,61.9628,62.1279,60.8164,61.7004,76484549,4841197668,
601318.SH,中国平安,2018-04-19,62.0793,63.0994,61.8462,62.6428,72647375,4680959624,
601318.SH,中国平安,2018-04-20,62.3708,63.0217,61.7004,62.3222,60334073,3871514930,
601318.SH,中国平安,2018-04-23,62.3222,63.3034,61.9628,63.1383,54446666,3516175405,
601318.SH,中国平安,2018-04-24,63.5366,65.1493,63.42,64.6635,90695407,6024928823,
601318.SH,中国平安,2018-04-25,64.1584,64.5664,63.4492,63.6337,47782761,3141687154,
601318.SH,中国平安,2018-04-26,63.8086,64.0126,61.0204,61.3216,84155382,5364614954,
601318.SH,中国平安,2018-04-27,61.7393,61.9142,56.6777,59.1551,260286257,15747812239,
601318.SH,中国平安,2018-05-02,59.6117,60.0295,59.0191,59.5923,70890842,4341690751,
601318.SH,中国平安,2018-05-03,59.1454,59.8254,58.1933,59.6894,62912538,3831120277,
601318.SH,中国平安,2018-05-04,59.5826,59.8837,58.9122,58.9802,44158675,2694568405,
601318.SH,中国平安,2018-05-07,58.8248,59.7186,58.0087,59.4465,82944783,5035372512,
601318.SH,中国平安,2018-05-08,59.6117,62.0599,59.4951,61.2827,117472062,7388303870,
601318.SH,中国平安,2018-05-09,61.3021,61.5936,60.7387,61.1564,48443100,3048008852,
601318.SH,中国平安,2018-05-10,61.4964,61.9336,60.8261,61.3798,49817832,3143778292,
601318.SH,中国平安,2018-05-11,61.7684,61.8462,61.0204,61.3021,45210551,2859210137,
601318.SH,中国平安,2018-05-14,61.885,62.74,61.6907,62.2736,68370916,4387898493,
601318.SH,中国平安,2018-05-15,62.6622,62.7497,61.5936,62.1473,52952916,3376776321,
601318.SH,中国平安,2018-05-16,61.8656,62.0988,60.8455,61.0204,55951439,3539081154,
601318.SH,中国平安,2018-05-17,61.2924,61.3896,60.1752,60.2335,47778223,2981258093,
